n_train,width,lr,weight_decay,x_low,x_high,time_pressure,loss_low,loss_high
11585,45,0.003,0.01,40.0,136.0,0.18798878850352138,0.48681566162109374,0.25675960083007815
11585,45,0.003,0.03,40.0,136.0,0.18830048651150655,0.4874280293782552,0.2569905202229818
11585,64,0.003,0.0,40.0,136.0,0.14477999368281982,0.4176626485188802,0.2404844492594401
11585,64,0.003,1e-06,40.0,136.0,0.14477999368281982,0.4176626485188802,0.2404844492594401
11585,64,0.003,3e-06,40.0,136.0,0.14477999368281982,0.4176626485188802,0.2404844492594401
11585,64,0.003,1e-05,40.0,136.0,0.144779605493162,0.41766321614583335,0.24048549194335936
11585,64,0.003,3e-05,40.0,136.0,0.144779952120758,0.4176633972167969,0.24048524881998698
11585,64,0.003,0.0001,40.0,136.0,0.14477017755504654,0.41766464436848955,0.24049845784505208
11585,64,0.003,0.0003,40.0,136.0,0.1447801507874137,0.4176693379720052,0.24049094645182292
11585,64,0.003,0.001,40.0,136.0,0.14478781815658817,0.41769219970703125,0.2405044250488281
11585,64,0.003,0.003,40.0,136.0,0.1448228275437867,0.41774182739257815,0.2405112091064453
11585,64,0.003,0.01,40.0,136.0,0.14490196337207625,0.41787376708984375,0.24054630432128907
11585,64,0.003,0.03,40.0,136.0,0.14522755807106943,0.4182416280110677,0.24051571044921874
11585,91,0.003,0.0,40.0,136.0,0.125762175865413,0.38518785603841144,0.23128319498697916
11585,91,0.003,1e-06,40.0,136.0,0.125762175865413,0.38518785603841144,0.23128319498697916
11585,91,0.003,3e-06,40.0,136.0,0.125762175865413,0.38518785603841144,0.23128319498697916
11585,91,0.003,1e-05,40.0,136.0,0.12576239032565228,0.3851882202148437,0.23128329671223957
11585,91,0.003,3e-05,40.0,136.0,0.12576244601881517,0.385188330078125,0.23128333841959636
11585,91,0.003,0.0001,40.0,136.0,0.12575963891715625,0.38518900960286456,0.23128745320638022
11585,91,0.003,0.0003,40.0,136.0,0.12577410417717072,0.38519261271158856,0.23127335408528646
11585,91,0.003,0.001,40.0,136.0,0.12580193247131877,0.38520110677083336,0.23124779256184894
11585,91,0.003,0.003,40.0,136.0,0.1258608500189893,0.38522036336263016,0.2311949473063151
11585,91,0.003,0.01,40.0,136.0,0.12585867216694718,0.3853090515136719,0.23128630065917968
11585,91,0.003,0.03,40.0,136.0,0.12602896855926757,0.38555158894856767,0.2313204335530599
11585,128,0.003,0.0,40.0,136.0,0.11315331360674553,0.3603335001627604,0.2218592549641927
11585,128,0.003,1e-06,40.0,136.0,0.11315331360674553,0.3603335001627604,0.2218592549641927
11585,128,0.003,3e-06,40.0,136.0,0.11315331360674553,0.3603335001627604,0.2218592549641927
11585,128,0.003,1e-05,40.0,136.0,0.11315329448819704,0.36033366292317703,0.22185944112141928
11585,128,0.003,3e-05,40.0,136.0,0.11315289549240316,0.36033371175130213,0.22185997823079426
11585,128,0.003,0.0001,40.0,136.0,0.11313013361359749,0.36033260904947917,0.22188673095703124
